Freq[Hz]     dBSPL  Phase[Deg]
9390.12     92.541    18.058
9526.70     92.772    19.728
9665.27     93.060    20.813
9805.86     93.352    21.347
9948.49     93.622    21.505
10093.2     93.883    21.429
10240.0     94.143    21.162
10388.9     94.411    20.681
10540.1     94.688    19.891
10693.4     94.953    18.690
10848.9     95.161    17.120
11006.7     95.299    15.315
11166.8     95.337    13.514
11329.2     95.293    12.047
11494.0     95.226    11.079
11661.2     95.193    10.546
11830.8     95.239    10.184
12002.9     95.356     9.666
12177.5     95.500     8.791
12354.6     95.632     7.522
12534.3     95.710     5.988
12716.6     95.744     4.352
12901.6     95.741     2.659
13089.2     95.697     0.910
13279.6     95.576    -0.779
13472.8     95.369    -2.108
13668.8     95.110    -2.776
13867.6     94.880    -2.733
14069.3     94.741    -2.217
14273.9     94.724    -1.588
14481.5     94.815    -1.226
14692.2     94.951    -1.351
14905.9     95.071    -1.880
15122.7     95.180    -2.658
15342.7     95.287    -3.683
15565.8     95.374    -4.984
15792.2     95.419    -6.511
16021.9     95.413    -8.167
16255.0     95.347    -9.811
16491.4     95.241   -11.322
16731.3     95.114   -12.693
16974.7     94.976   -13.968
17221.6     94.824   -15.196
17472.1     94.632   -16.328
17726.2     94.410   -17.259
17984.0     94.168   -17.934
18245.6     93.918   -18.317
18511.0     93.680   -18.424
18780.2     93.467   -18.328
19053.4     93.274   -18.085
19330.5     93.106   -17.722
19611.7     92.966   -17.276
19897.0     92.854   -16.802
20186.4     92.760   -16.315
20480.0     92.696   -15.847
20777.9     92.652   -15.457
21080.1     92.619   -15.158
21386.7     92.590   -14.940
21697.8     92.561   -14.782
22013.4     92.532   -14.664
22333.6     92.504   -14.577
22658.4     92.475   -14.514
22988.0     92.446   -14.470
23322.4     92.417   -14.442
23661.6     92.388   -14.427
24005.8     92.360   -14.423
24355.0     92.331   -14.428
24709.2     92.302   -14.441
25068.6     92.273   -14.462
25433.2     92.244   -14.488
25803.2     92.216   -14.519
26178.5     92.187   -14.554
26559.3     92.158   -14.593
26945.6     92.129   -14.636
27337.5     92.100   -14.681
27735.2     92.072   -14.729
28138.6     92.043   -14.779
28547.9     92.014   -14.831
28963.1     91.985   -14.885
29384.4     91.956   -14.940
29811.8     91.928   -14.996
30245.4     91.899   -15.053
30685.3     91.870   -15.111
31131.7     91.841   -15.169
31584.5     91.812   -15.229
32043.9     91.783   -15.288
32510.0     91.755   -15.348
32982.8     91.726   -15.408
33462.6     91.697   -15.469
33949.3     91.668   -15.529
34443.1     91.639   -15.590
34944.1     91.611   -15.650
35452.4     91.582   -15.710
35968.0     91.553   -15.771
36491.2     91.524   -15.831
37022.0     91.495   -15.891
37560.5     91.467   -15.951
38106.8     91.441   -16.006
38661.1     91.417   -16.056
39223.4     91.400   -16.094
39793.9     91.386   -16.123
